date,region,product,units,price
2026-01-01,North,Keyboard,12,49.99
2026-01-01,North,Mouse,25,19.99
2026-01-01,South,Keyboard,8,49.99
2026-01-02,South,Mouse,18,19.99
2026-01-02,East,Monitor,4,199.99
2026-01-02,West,Keyboard,10,49.99
2026-01-03,North,Monitor,3,199.99
2026-01-03,South,USB-C Cable,40,9.99
2026-01-03,East,Mouse,22,19.99
2026-01-04,West,USB-C Cable,55,9.99
2026-01-04,North,Keyboard,9,49.99
2026-01-04,East,Keyboard,11,49.99
2026-01-05,South,Monitor,2,199.99
2026-01-05,West,Mouse,30,19.99
2026-01-05,North,USB-C Cable,60,9.99
